"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.01G000400.Wm82.a4.v1",181.307431774978,-1.56089904830677,0.172656364467735,-9.04049528158843,1.5596354486597e-19,6.39984275111253e-19
"Glyma.01G001100.Wm82.a4.v1",851.653334889516,-0.793078376861247,0.0925076918938944,-8.57310738842021,1.00729494703231e-17,3.89970268249115e-17
"Glyma.01G001300.Wm82.a4.v1",2325.74149432802,-1.17745630025855,0.0761201432545224,-15.4683931206158,5.67048951656325e-54,5.4593542686061e-53
"Glyma.01G001600.Wm82.a4.v1",125.80544631512,-0.970396749624379,0.199126212483609,-4.87327478146182,1.09763385357149e-06,2.51741161975819e-06
"Glyma.01G002000.Wm82.a4.v1",417.311690047403,-4.03583634412691,0.164168241743147,-24.583538821359,1.89479486102448e-133,5.80815747318874e-132
"Glyma.01G002400.Wm82.a4.v1",278.601783131597,-2.36448443858923,0.150927712364432,-15.6663372255978,2.56967574717154e-55,2.54159185922431e-54
"Glyma.01G002600.Wm82.a4.v1",336.296146467413,-1.87461199533754,0.14383710579854,-13.0328817792201,7.9545564520941e-39,5.56409073875776e-38
"Glyma.01G002700.Wm82.a4.v1",528.911055775863,-1.01437260383227,0.107031198910122,-9.4773543991045,2.60811551197841e-21,1.13426167746338e-20
"Glyma.01G002902.Wm82.a4.v1",1918.8176242587,-0.792491963998815,0.0760510575553669,-10.4205252296704,1.99846482713543e-25,9.89212763112614e-25
"Glyma.01G003000.Wm82.a4.v1",335.885836538005,-2.05357747585057,0.148476473088477,-13.8309958011115,1.65710516551798e-43,1.29495409830055e-42
"Glyma.01G003400.Wm82.a4.v1",284.511283230485,-2.82367706434273,0.172330762383374,-16.3852177364658,2.43894080103284e-60,2.65780217452002e-59
"Glyma.01G003600.Wm82.a4.v1",87.9841808442418,-3.04787941543658,0.288579739600919,-10.5616541883763,4.48684330401926e-26,2.25977095515797e-25
"Glyma.01G003800.Wm82.a4.v1",243.730035729709,-1.96634856862437,0.162640031058175,-12.0901881033275,1.19013925332168e-33,7.35683737498084e-33
"Glyma.01G004300.Wm82.a4.v1",1419.33047613422,-1.7425431567127,0.0905164785639446,-19.2511152041967,1.38156740478182e-82,2.14866518231411e-81
"Glyma.01G004600.Wm82.a4.v1",23.2696262078185,-2.049183664432,0.522206389223808,-3.92408769160761,8.70590218652828e-05,0.000172880905966219
"Glyma.01G005400.Wm82.a4.v1",730.987655979812,-0.372368224261673,0.104069250029429,-3.57808117341458,0.000346125965238951,0.000651106005084258
"Glyma.01G005600.Wm82.a4.v1",13.719307706083,-2.59999420937644,0.684432147334282,-3.79876108903251,0.000145421185652365,0.000282951587747448
"Glyma.01G006400.Wm82.a4.v1",689.147384045221,-0.754077544810555,0.107351075551568,-7.02440605216218,2.14978768695237e-12,6.72261867388395e-12
"Glyma.01G006500.Wm82.a4.v1",79.2791185415802,-0.88560319457089,0.241827829058016,-3.66212275080395,0.000250133945870945,0.000477097113737186
"Glyma.01G006800.Wm82.a4.v1",12.0262185204719,-1.65471080055446,0.654273336707571,-2.52908181904719,0.0114361364118272,0.018113490499773
"Glyma.01G007200.Wm82.a4.v1",880.196309214926,-0.72783539773795,0.0954924370285057,-7.62191667095774,2.4993637207357e-14,8.47767401616669e-14
